model,steps,baseline,fad_score
AudioLDM,10,clotho,0.6231807065184898
AudioLDM,25,clotho,0.5669252941894469
AudioLDM,50,clotho,0.5686565623872092
AudioLDM,100,clotho,0.5749132313615675
AudioLDM,150,clotho,0.5641286223206325
AudioLDM,200,clotho,0.5741019974108139
AudioLDM,10,audiocaps,0.332962824045821
AudioLDM,25,audiocaps,0.22971487750787872
AudioLDM,50,audiocaps,0.2227534779187909
AudioLDM,100,audiocaps,0.21065444550741036
AudioLDM,150,audiocaps,0.20495383122103114
AudioLDM,200,audiocaps,0.20707768465084092
