model,steps,baseline,gpu_energy,emissions
SAO,10,audiocaps,0.021986162588810032,0.010962040708213105
SAO,25,audiocaps,0.0518127022834552,0.025345659559582297
SAO,50,audiocaps,0.101286493807002,0.0491791630096241
SAO,100,audiocaps,0.2006877199943624,0.0970488309696828
SAO,150,audiocaps,0.3001225203756225,0.1449415891384492
SAO,200,audiocaps,0.4000059163931967,0.1929994161991596
SAO,10,clotho,0.02198254203040051,0.010952533649865575
SAO,25,clotho,0.0516544524348093,0.025279518186974298
SAO,50,clotho,0.1011740695503669,0.0491768181899034
SAO,100,clotho,0.2001861209822158,0.0968426707168421
SAO,150,clotho,0.2997376950676752,0.1448570162960069
SAO,200,clotho,0.3994441712216659,0.1928981524614124
