model,steps,baseline,clap_score
SAOsanity,10,audiocaps,0.21258030831813812
SAOsanity,25,audiocaps,0.2979821264743805
SAOsanity,50,audiocaps,0.2995496094226837
SAOsanity,100,audiocaps,0.30381402373313904
SAOsanity,150,audiocaps,0.3053651452064514
SAOsanity,200,audiocaps,0.30205002427101135
SAOsanity,10,clotho,0.2086961418390274
SAOsanity,25,clotho,0.26523157954216003
SAOsanity,50,clotho,0.26725539565086365
SAOsanity,100,clotho,0.268129825592041
SAOsanity,150,clotho,0.26868975162506104
SAOsanity,200,clotho,0.2693546712398529
