model,steps,baseline,CLAP_300,CLAP_total,CLAPdifference_(300-total),CLAPdifference_(%)
AudioLDM2,10,audiocaps,0.3464593887329101,0.3414801359176636,0.0049792528152465265,1.4581383487697526
AudioLDM2,25,audiocaps,0.3827604949474334,0.3778060674667358,0.004954427480697632,1.3113678967407922
AudioLDM2,50,audiocaps,0.3818219304084778,0.3843917846679687,-0.0025698542594909113,0.6685507760554011
AudioLDM2,100,audiocaps,0.3864969313144684,0.3857762515544891,0.0007206797599793036,0.18681288883784775
AudioLDM2,150,audiocaps,0.3777012526988983,0.3792003989219665,-0.0014991462230681818,0.3953440522030365
AudioLDM2,200,audiocaps,0.3847379386425018,0.3888325691223144,-0.004094630479812622,1.053057486685119
SAO,10,audiocaps,0.215130016207695,0.2125803083181381,0.0025497078895569125,1.19940925372125
SAO,25,audiocaps,0.2967036664485931,0.2979821264743805,-0.001278460025787409,0.4290391645008033
SAO,50,audiocaps,0.3035514056682586,0.2995496094226837,0.004001796245574896,1.3359377277398163
SAO,100,audiocaps,0.3033206760883331,0.303814023733139,-0.0004933476448059082,0.1623847506260112
SAO,150,audiocaps,0.3042935729026794,0.3053651452064514,-0.0010715723037720282,0.35091506695944585
SAO,200,audiocaps,0.3035189509391784,0.3020500242710113,0.0014689266681671143,0.486319003520137
AudioLDM2,10,clotho,0.3185268044471741,0.2507774531841278,0.06774935126304626,27.0157266543826
AudioLDM2,25,clotho,0.3372972905635834,0.2613150477409363,0.0759822428226471,29.07687233456786
AudioLDM2,50,clotho,0.3439463376998901,0.2644456326961517,0.0795007050037384,30.063156722684393
AudioLDM2,100,clotho,0.3395601212978363,0.2672683298587799,0.0722917914390564,27.048394202655494
AudioLDM2,150,clotho,0.3199093043804168,0.2536017894744873,0.06630751490592951,26.146311918118442
AudioLDM2,200,clotho,0.339336633682251,0.2667247354984283,0.07261189818382269,27.223533673445356
SAO,10,clotho,0.281614750623703,0.2086961418390274,0.0729186087846756,34.94008472898342
SAO,25,clotho,0.3494226038455963,0.26523157954216,0.08419102430343633,31.742458589873053
SAO,50,clotho,0.352755606174469,0.2672553956508636,0.0855002105236054,31.991949242177675
SAO,100,clotho,0.3545557260513305,0.268129825592041,0.0864259004592895,32.23285595642252
SAO,150,clotho,0.3565532863140106,0.268689751625061,0.08786353468894964,32.70073910803917
SAO,200,clotho,0.3556850552558899,0.2693546712398529,0.08633038401603699,32.05082117887689
