model,steps,baseline,FAD_300,FAD_total,FADdifference_(300-total),FADdifference_(%)
AudioLDM2,10,audiocaps,0.2197727584845864,0.1632803176134091,0.0564924408711773,34.59843886691335
AudioLDM2,25,audiocaps,0.1756574927466704,0.115095740483736,0.06056175226293439,52.61858693327777
AudioLDM2,50,audiocaps,0.1814126543416936,0.1104076356475159,0.07100501869417769,64.31169210150118
AudioLDM2,100,audiocaps,0.1809419061188962,0.1128214604305905,0.0681204456883057,60.37897881158386
AudioLDM2,150,audiocaps,0.1666481259025589,0.1122021656758918,0.0544459602266671,48.52487463026356
AudioLDM2,200,audiocaps,0.1808255586132173,0.1129703889570683,0.067855169656149,60.06456230042346
SAO,10,audiocaps,0.4076514985230691,0.3809902111568802,0.02666128736618889,6.997893012849767
SAO,25,audiocaps,0.3003200687719194,0.2778067303076567,0.022513338464262733,8.103957178910088
SAO,50,audiocaps,0.2980165734770945,0.2770643525755614,0.020952220901533092,7.5622218112014155
SAO,100,audiocaps,0.2969313129081633,0.2706012195412243,0.026330093366939034,9.73021977195037
SAO,150,audiocaps,0.2979374326525948,0.2708436035651214,0.02709382908747343,10.003496014244625
SAO,200,audiocaps,0.2979104505167262,0.2718350927251948,0.026075357791531417,9.59234421506118
AudioLDM2,10,clotho,0.6052480168058507,0.7755745576217705,-0.1703265408159198,21.961336810507397
AudioLDM2,25,clotho,0.5500538421833178,0.7267182573871525,-0.1766644152038347,24.309890856329258
AudioLDM2,50,clotho,0.5400459303940058,0.7237023182908033,-0.1836563878967975,25.37733861769935
AudioLDM2,100,clotho,0.5472149541873874,0.7276437646136057,-0.18042881042621828,24.796310942351003
AudioLDM2,150,clotho,0.557892829904272,0.7429217104154594,-0.18502888051118738,24.905569176019213
AudioLDM2,200,clotho,0.5677494724725364,0.7350209347066314,-0.16727146223409506,22.757373883623877
SAO,10,clotho,0.5393911899780549,0.7308309931074917,-0.19143980312943676,26.194811787529037
SAO,25,clotho,0.4844371333365584,0.6779223850481255,-0.1934852517115671,28.54091500427909
SAO,50,clotho,0.4861568980026482,0.6764354892148121,-0.1902785912121639,28.129599089047513
SAO,100,clotho,0.4867331674244869,0.6723313744861359,-0.18559820706164898,27.60516824066139
SAO,150,clotho,0.4848447535556824,0.6747313595400987,-0.18988660598441626,28.142549371626096
SAO,200,clotho,0.4852606642519926,0.6755062694409888,-0.1902456051889962,28.163410732876365
